longitude,latitude,physical_location,postal_address,hours_of_operation,hiv_capable,details
7.37345,5.15247,,,,,View
7.422729492,5.158081055,,,,,View
7.38912,5.13645,,,,,View
7.403076172,5.147521973,,,,,View
7.40308,5.14381,,,,,View
7.436706543,5.046691894,,,,,View
7.423706055,5.076477051,,,,,View
7.40752,5.07868,,,,,View
7.43793,5.09221,,,,,View
7.438409328,5.076338053,,,,,View
7.475037575,5.115069151,,,,,View
7.47656,5.13414,,,,,View
7.478881836,5.162719727,,,,,View
7.459472656,5.111083984,,,,,View
7.45795,5.15273,,,,,View
7.460876465,5.169677734,,,,,View
7.46065,5.16336,,,,,View
7.45886,5.164465,,,,,View
7.387056,5.18492,,,,,View
7.387878418,5.186706543,,,,,View
7.2432,5.1237,,,,,View
7.417297363,5.187316895,,,,,View
7.234,5.116,,,,,View
7.41433,5.18369,,,,,View
7.41433,5.18369,,,,,View
7.377077937,5.184044838,,,,,View
7.49097,5.18008,,,,,View
7.508483887,5.183105469,,,,,View
7.49801,5.20623,,,,,View
007.49069,05.52156,,,,,View
7.468847036,5.189312696,,,,,View
7.439270019,5.180725097,,,,,View
7.397340,5.1113816,,,,,View
7.45625,5.23523,,,,,View
7.511901856,5.268310547,,,,,View
7.478515625,5.242675781,,,,,View
7.520874023,5.231079102,,,,,View
7.514448,5.201463,,,,,View
7.500915527,5.103881836,,,,,View
7.52219,5.11504,,,,,View
7.52532959,5.140319824,,,,,View
7.530386,5.0947069,,,,,View
7.50552,5.249048,,,,,View
7.483886719,5.093872071,,,,,View
7.472290039,5.085693359,,,,,View
7.455078125,5.07232666,,,,,View
7.50182,5.10748,,,,,View
7.392883301,5.125305176,,,,,View
7.443908692,5.141906738,,,,,View
7.7418,5.6938,,,,,View
7.802331448,5.676165819,,,,,View
7.84428,5.55977,,,,,View
7.8379,5.5591,,,,,View
7.855787873,5.636603236,,,,,View
7.8821,5.5939,,,,,View
7.88923,5.63016,,,,,View
7.87825,5.56846,,,,,View
7.73965,5.70616,,,,,View
7.74166,5.68318,,,,,View
007.73449,05.71152,,,,,View
7.76017,5.77304,,,,,View
7.7322,5.6987,,,,,View
007.72607,05.70141,,,,,View
7.7283,5.6938,,,,,View
7.89096,5.53484,,,,,View
7.81762,5.55669,,,,,View
7.82498,5.63366,,,,,View
7.8323,5.6292,,,,,View
7.81974,5.61784,,,,,View
7.82901,5.61479,,,,,View
007.83447,05.63171,,,,,View
7.82239,5.63148,,,,,View
7.8283,5.6423,,,,,View
7.83184,5.65115,,,,,View
007.82930,05.65332,,,,,View
7.827426195,5.636930466,,,,,View
7.8265,5.6485,,,,,View
7.819197178,5.656564236,,,,,View
007.83124,05.64627,,,,,View
7.76426,5.79445,,,,,View
7.76954,5.81605,,,,,View
7.76293,5.77051,,,,,View
7.77082,5.79066,,,,,View
007.77454,05.77332,,,,,View
007.84945,05.61769,,,,,View
7.865345,5.619001667,,,,,View
7.8536,5.6191,,,,,View
7.871671915,5.668698549,,,,,View
7.88866,5.63678,,,,,View
7.894897461,5.623921`66666667,,,,,View
007.78901,05.66610,,,,,View
007.79085,05.64625,,,,,View
7.7933,5.67802,,,,,View
007.77421,05.63701,,,,,View
7.83239,5.67622,,,,,View
7.84339,5.54375,,,,,View
7.7768,5.7654,,,,,View
7.73589,5.70518,,,,,View
7.84428,5.55977,,,,,View
7.77639,5.76922,,,,,View
7.782917619,5.76114893,,,,,View
7.84349,5.54369,,,,,View
7.826374769,5.616867423,,,,,View
7.88925,5.63016,,,,,View
7.826465964,5.616797805,,,,,View
7.82369,5.62003,,,,,View
7.28583,5.12959,,,,,View
7.31251,5.17177,,,,,View
7.335693359,5.133728027,,,,,View
7.2782,5.1038,,,,,View
7.19771,5.05943,,,,,View
7.32933,5.09903,,,,,View
7.19771,5.05943,,,,,View
7.34951,5.2002,,,,,View
7.3377,5.18795,,,,,View
7.38264,5.0316,,,,,View
7.34407,5.15544,,,,,View
7.20585,5.07971,,,,,View
7.21551,5.09447,,,,,View
7.20216,5.07613,,,,,View
7.31638,5.17056,,,,,View
7.35711,5.16723,,,,,View
7.20063,5.09594,,,,,View
7.35002,5.13755,,,,,View
7.20468,5.07664,,,,,View
7.33656,5.14011,,,,,View
7.35711,5.16723,,,,,View
7.3435,5.13629,,,,,View
7.21057,5.08297,,,,,View
7.28182,5.17542,,,,,View
7.308288575,5.220703125,,,,,View
7.3125,5.218688965,,,,,View
7.3444,5.2608,,,,,View
7.323486328,5.249694824,,,,,View
7.35711,5.16723,,,,,View
7.28171,5.15164,,,,,View
7.1872,5.07904,,,,,View
7.313110352,5.116516113,,,,,View
7.35711,5.16723,,,,,View
7.1918,5.07564,,,,,View
7.19140,5.07615,,,,,View
7.19140,5.07616,,,,,View
7.19246,5.07622,,,,,View
7.19567,5.07676,,,,,View
7.21292,5.08443,,,,,View
7.18713,5.07905,,,,,View
7.359313965,5.167724609,,,,,View
7.21435,5.09018,,,,,View
7.3525,5.2579,,,,,View
7.36828,5.22254,,,,,View
7.35711,5.16723,,,,,View
7.35711,5.16723,,,,,View
7.303100586,5.211303711,,,,,View
7.33606,5.15167,,,,,View
7.3416,5.14263,,,,,View
7.35711,5.16723,,,,,View
7.36907959,5.275878906,,,,,View
7.370727539,5.190124512,,,,,View
5.16796,7.31545,,,,,View
7.31243,5.21788,,,,,View
7.357482911,5.131286621,,,,,View
7.299,5.1678,,,,,View
7.21551,5.09447,,,,,View
7.3249,5.1585,,,,,View
7.32188,5.17241,,,,,View
7.3828,5.0409,,,,,View
7.3962,5.0069,,,,,View
7.3883,5.0227,,,,,View
007.33357,05.04372,,,,,View
7.32487,5.01226,,,,,View
7.3163,5.0235,,,,,View
7.35584,5.04672,,,,,View
7.3092,5.0073,,,,,View
7.31392,5.04949,,,,,View
7.3216,4.9974,,,,,View
7.28165,4.97703,,,,,View
7.3278,4.9851,,,,,View
007.38930,05.07782,,,,,View
7.3542,5.0127,,,,,View
7.38480,5.7900,,,,,View
7.39278,5.08791,,,,,View
2.483,5.3381,,,,,View
7.3499,5.0041,,,,,View
7.3542,5.0127,,,,,View
7.3542,5.0127,,,,,View
7.3074,5.0363,,,,,View
7.3542,5.0127,,,,,View
7.3542,5.0127,,,,,View
7.3542,5.0127,,,,,View
7.3827,5.0697,,,,,View
7.40548,5.6407,,,,,View
7.3733,5.0031,,,,,View
7.34229,5.5007,,,,,View
7.3249,5.0122,,,,,View
7.3542,5.0217,,,,,View
7.4016,4.9951,,,,,View
7.3073,5.0364,,,,,View
7.3097,5.0356,,,,,View
7.31608,5.06375,,,,,View
7.3061,5.0345,,,,,View
7.3125,5.0567,,,,,View
7.32307,5.04565,,,,,View
7.31821,5.02738,,,,,View
7.36000,4.88741,,,,,View
7.36000,4.88741,,,,,View
7.35255,4.89380,,,,,View
7.36264,4.88919,,,,,View
7.33765,4.88527,,,,,View
7.47967,4.94380,,,,,View
7.47806955,4.94343965,,,,,View
7.43071,4.98806,,,,,View
7.43071807,4.98806274,,,,,View
7.37810,4.89171,,,,,View
7.36802,4.88946,,,,,View
7.43071807,4.98806274,,,,,View
7.40637,4.96353,,,,,View
7.39845,4.94329,,,,,View
7.40699,4.94694,,,,,View
7.48114,4.95609,,,,,View
7.43005,4.98809,,,,,View
7.44087,4.98048,,,,,View
7.45118,4.97232,,,,,View
